# ids|reference|exact Arabic search text (diacritics omitted)|Russian meaning|English meaning|Kyrgyz meaning
yajuj|muslim:2937a|ويبعث الله يأجوج ومأجوج وهم من كل حدب ينسلون فيمر أوائلهم على بحيرة طبرية فيشربون ما فيها ويمر آخرهم فيقولون لقد كان بهذه مرة ماء|Аллах выпустит Яджуджа и Маджуджа, и они устремятся с каждой возвышенности. Первые из них пройдут мимо Тивериадского озера и выпьют его воду. Последние пройдут и скажут: «Когда-то здесь была вода».|Allah will release Yajuj and Majuj, rushing down from every elevation. The first of them will pass Lake Tiberias and drink its water. The last will pass and say: “There was once water here.”|Аллах Яжуж менен Мажужду чыгарат, алар ар бир дөңсөөдөн агылып түшөт. Алдыңкылары Табария көлүнүн суусун ичишет. Арткылары өтүп: «Бир кезде бул жерде суу бар эле», — дешет.
yajuj-end|muslim:2937a|فيرغب نبي الله عيسى وأصحابه فيرسل الله عليهم النغف في رقابهم فيصبحون فرسى كموت نفس واحدة|Пророк Аллаха Иса и его сподвижники обратятся с мольбой. Аллах пошлёт на них [Яджуджа и Маджуджа] червей, которые поразят их шеи, и к утру все они погибнут, словно один человек.|Allah’s prophet Isa and his companions will supplicate. Allah will send worms upon their [Yajuj and Majuj’s] necks, and by morning they will all lie dead, as though one soul had died.|Аллахтын пайгамбары Иса жана анын шериктери дуба кылышат. Аллах алардын [Яжуж менен Мажуждун] моюндарына курттарды жиберет. Таңга жуук баары бир адамдай кырылып калат.
peace|muslim:2940a|ثم يمكث الناس سبع سنين ليس بين اثنين عداوة|Затем люди проживут семь лет, и между двумя людьми не будет вражды.|Then people will live for seven years with no enmity between any two of them.|Андан кийин адамдар жети жыл жашашат, эки адамдын ортосунда да душмандык болбойт.
wind|muslim:2940a|ثم يرسل الله ريحا باردة من قبل الشأم فلا يبقى على وجه الأرض أحد في قلبه مثقال ذرة من خير أو إيمان إلا قبضته|Затем Аллах пошлёт холодный ветер со стороны аш-Шама. Он заберёт душу каждого на земле, в чьём сердце есть хоть мельчайшая частица добра или веры.|Then Allah will send a cold wind from the direction of al-Sham. It will take the soul of everyone on earth whose heart contains even the smallest particle of goodness or faith.|Андан кийин Аллах аш-Шам тараптан муздак шамал жиберет. Ал жүрөгүндө жакшылыктын же ыймандын кичинекей бөлүкчөсү бар ар бир адамдын жанын алат.
idols|muslim:2907a|لا يذهب الليل والنهار حتى تعبد اللات والعزى|Не прекратится смена ночи и дня, пока вновь не станут поклоняться аль-Лат и аль-Уззе.|Night and day will not cease before al-Lat and al-Uzza are worshipped.|Аль-Лат менен аль-Уззага сыйынмайынча күн менен түндүн алмашуусу токтобойт.
hour|bukhari:6506|ولتقومن الساعة وقد نشر الرجلان ثوبهما بينهما فلا يتبايعانه ولا يطويانه|Час непременно наступит, когда двое разложат между собой ткань: они не успеют ни совершить сделку, ни свернуть её.|The Hour will come when two men have spread a cloth between them: they will neither complete its sale nor fold it away.|Эки киши ортосуна кездеме жайып турганда Кыямат келет: алар аны сатып да, бүктөп да үлгүрбөйт.
smoke,east-sinking,west-sinking,arabia-sinking|muslim:2901a|إنها لن تقوم حتى ترون قبلها عشر آيات " . فذكر الدخان والدجال والدابة وطلوع الشمس من مغربها ونزول عيسى ابن مريم صلى الله عليه وسلم ويأجوج ومأجوج وثلاثة خسوف خسف بالمشرق وخسف بالمغرب وخسف بجزيرة العرب وآخر ذلك نار تخرج من اليمن تطرد الناس إلى محشرهم|«Он не наступит, пока вы не увидите перед ним десять знамений». Затем он упомянул дым, Даджаля, Зверя, восход солнца с запада, нисхождение Исы, сына Марьям, мир ему, Яджуджа и Маджуджа, три провала земли — на востоке, на западе и на Аравийском полуострове — и последним из этого огонь, который выйдет из Йемена и погонит людей к месту их сбора.|“It will not come until you see ten signs before it.” He then mentioned the smoke, the Dajjal, the Beast, the sun rising in the west, the descent of Isa son of Maryam, peace be upon him, Yajuj and Majuj, three sinkings of the earth—in the east, in the west and in the Arabian Peninsula—and, last of these, a fire emerging from Yemen that drives people to their gathering place.|«Анын алдында он белгини көрмөйүнчө Кыямат келбейт». Анан ал түтүндү, Дажжалды, жаныбарды, күндүн батыштан чыгышын, Марьямдын уулу Исанын түшүшүн, ага тынчтык болсун, Яжуж менен Мажужду, жердин үч жерде — чыгышта, батышта жана Араб жарым аралында — чөгүшүн жана акырында Йеменден чыгып, адамдарды чогулуучу жерге айдаган отту атады.
beast|muslim:2941a|إن أول الآيات خروجا طلوع الشمس من مغربها وخروج الدابة على الناس ضحى وأيهما ما كانت قبل صاحبتها فالأخرى على إثرها قريبا|Первыми появляющимися знамениями будут восход солнца с запада и выход Зверя к людям утром. Какое бы из этих двух ни произошло первым, другое вскоре последует за ним.|The first signs to appear will be the sun rising in the west and the Beast coming out to people in the morning. Whichever of the two comes first, the other will follow soon after.|Эң алгач чыга турган белгилер — күндүн батыштан чыгышы жана жаныбардын адамдарга эртең менен чыгышы. Экөөнүн кайсынысы биринчи болсо да, экинчиси көп өтпөй артынан болот.
sun|bukhari:6506|لا تقوم الساعة حتى تطلع الشمس من مغربها، فإذا طلعت فرآها الناس آمنوا أجمعون، فذلك حين لا ينفع نفسا إيمانها، لم تكن آمنت من قبل، أو كسبت في إيمانها خيرا|Час не наступит, пока солнце не взойдёт с запада. Когда оно взойдёт и люди увидят его, все уверуют. Но тогда вера не принесёт пользы душе, которая не уверовала раньше или не приобрела добра в своей вере.|The Hour will not come until the sun rises in the west. When it rises and people see it, they will all believe. Then faith will not benefit a soul that had not believed before or earned good through its faith.|Күн батыштан чыкмайынча Кыямат келбейт. Ал чыкканын көргөндө адамдардын баары ыйман келтиришет. Бирок мурда ыйман келтирбеген же ыйманында жакшылык кылбаган жанга ошол учурдагы ыйманы пайда бербейт.
fire-gathering|muslim:2901b|ونار تخرج من قعرة عدن ترحل الناس|И огонь, который выйдет из глубины Адена и погонит людей.|And a fire emerging from the depths of Aden that drives people onward.|Адендин тереңинен чыгып, адамдарды айдаган от.
bayda|muslim:2882a|يعوذ عائذ بالبيت فيبعث إليه بعث فإذا كانوا ببيداء من الأرض خسف بهم|Человек укроется у Дома [Каабы]. Против него отправят войско, и когда оно окажется на открытой равнине, земля поглотит его.|A man will seek refuge at the House [the Kaaba]. A force will be sent against him; when it reaches an open plain, the earth will swallow it.|Бир киши Үйдөн [Каабадан] баш калкалоо издейт. Ага каршы кошуун жөнөтүлөт. Алар ачык түздүккө келгенде жер жутуп кетет.
euphrates|muslim:2894a|لا تقوم الساعة حتى يحسر الفرات عن جبل من ذهب يقتتل الناس عليه فيقتل من كل مائة تسعة وتسعون ويقول كل رجل منهم لعلي أكون أنا الذي أنجو|Час не наступит, пока Евфрат не обнажит гору золота. Люди станут сражаться из-за неё, и из каждой сотни погибнут девяносто девять. Каждый будет говорить: «Может быть, именно я спасусь».|The Hour will not come until the Euphrates uncovers a mountain of gold. People will fight over it, and ninety-nine out of every hundred will be killed. Each will say: “Perhaps I will be the one who survives.”|Евфрат алтын тоону ачмайынча Кыямат келбейт. Адамдар ал үчүн согушуп, ар бир жүз кишинин токсон тогузу өлөт. Ар бири: «Балким, аман калуучу мен болормун», — дейт.
arabia-green|muslim:157c|وحتى تعود أرض العرب مروجا وأنهارا|И пока земля арабов вновь не станет лугами и реками.|And until the land of the Arabs again becomes meadows and rivers.|Арабдардын жери кайрадан шалбааларга жана дарыяларга айланмайынча.
hajj-isa|muslim:1252a|والذي نفسي بيده ليهلن ابن مريم بفج الروحاء حاجا أو معتمرا أو ليثنينهما|Клянусь Тем, в Чьей руке моя душа: сын Марьям непременно возгласит тальбию в ущелье ар-Рауха, совершая хадж или умру, либо объединяя их.|By Him in whose hand is my soul, the son of Maryam will proclaim the talbiyah in the pass of al-Rawha, performing Hajj or Umrah, or combining both.|Жаным Анын колунда болгон Затка ант, Марьямдын уулу ар-Рауха ашуусунда ажылык же умра үчүн, же экөөнү бирге аткаруу үчүн тальбия айтат.
hajj-continues|bukhari:1593|ليحجن البيت وليعتمرن بعد خروج يأجوج ومأجوج|После выхода Яджуджа и Маджуджа к Дому непременно будут совершать хадж и умру.|Hajj and Umrah to the House will continue after Yajuj and Majuj emerge.|Яжуж менен Мажуж чыккандан кийин да Үйгө ажылык жана умра жасалат.
kaaba|bukhari:1591|يخرب الكعبة ذو السويقتين من الحبشة|Каабу разрушит Зу-с-Сувайкатайн [человек с тонкими голенями] из аль-Хабаши.|Dhu al-Suwayqatayn [the man with thin shins] from al-Habasha will destroy the Kaaba.|Каабаны аль-Хабашадан чыккан Зу-с-Сувайкатайн [шыйрактары ичке киши] бузат.
medina-empty|bukhari:1874|يتركون المدينة على خير ما كانت، لا يغشاها إلا العواف|Люди оставят Медину в её наилучшем состоянии, и её будут посещать лишь дикие звери и птицы, ищущие пропитание.|People will abandon Medina when it is at its best, and only foraging wild animals and birds will visit it.|Адамдар Мединаны эң жакшы абалында таштап кетишет. Ага азык издеген жапайы жаныбарлар менен куштар гана келишет.
hijaz-fire|bukhari:7118|لا تقوم الساعة حتى تخرج نار من أرض الحجاز، تضيء أعناق الإبل ببصرى|Час не наступит, пока из земли Хиджаза не выйдет огонь, который осветит шеи верблюдов в Бусре.|The Hour will not come until a fire emerges from the land of the Hijaz, illuminating the necks of camels in Busra.|Хижаз жеринен чыгып, Бусрадагы төөлөрдүн моюндарын жарык кылган от пайда болмоюнча Кыямат келбейт.
du-khalasa|muslim:2906|لا تقوم الساعة حتى تضطرب أليات نساء دوس حول ذي الخلصة|Час не наступит, пока бёдра женщин племени Даус не станут колыхаться вокруг Зу-ль-Халасы.|The Hour will not come until the hips of the women of Daws sway around Dhu al-Khalasah.|Даус уруусунун аялдарынын жамбаштары Зу-ль-Халасанын айланасында кыймылдамайынча Кыямат келбейт.
payments|muslim:2896|منعت العراق درهمها وقفيزها ومنعت الشأم مديها ودينارها ومنعت مصر إردبها ودينارها|Ирак удержит свои дирхамы и кафизы, аш-Шам — свои мудьи и динары, а Египет — свои ирдаббы и динары.|Iraq will withhold its dirhams and qafizes, al-Sham its mudys and dinars, and Egypt its irdabbs and dinars.|Ирак дирхамдары менен кафиздерин, аш-Шам мудьдары менен динарларын, Египет ирдаббдары менен динарларын бербей коёт.
romans|muslim:2898a|تقوم الساعة والروم أكثر الناس|Час наступит, когда римляне будут самыми многочисленными среди людей.|The Hour will come when the Romans are the most numerous among people.|Римдиктер адамдардын эң көп бөлүгүн түзгөндө Кыямат келет.
qahtan|bukhari:7117|لا تقوم الساعة حتى يخرج رجل من قحطان يسوق الناس بعصاه|Час не наступит, пока не появится человек из Кахтана, который будет вести людей своим посохом.|The Hour will not come until a man from Qahtan emerges, driving people with his staff.|Кахтандан чыгып, адамдарды таягы менен айдаган киши пайда болмоюнча Кыямат келбейт.
jahjah|muslim:2911|لا تذهب الأيام والليالي حتى يملك رجل يقال له الجهجاه|Не прекратится смена дней и ночей, пока не станет править человек по имени аль-Джахджах.|Days and nights will not cease before a man called al-Jahjah comes to rule.|Аль-Жахжах деген киши бийликке келмейинче күндөр менен түндөрдүн алмашуусу токтобойт.
caliph|muslim:2913a|يكون في آخر أمتي خليفة يحثي المال حثيا لا يعده عددا|В конце времён моей общины будет халиф, который станет раздавать богатство пригоршнями, не считая его.|At the end of my community there will be a caliph who distributes wealth by the handful without counting it.|Үммөтүмдүн акыркы мезгилинде байлыкты санабай, уучтап тараткан халиф болот.
truce|bukhari:3176|ثم هدنة تكون بينكم وبين بني الأصفر فيغدرون، فيأتونكم تحت ثمانين غاية، تحت كل غاية اثنا عشر ألفا|Затем между вами и Бану-ль-Асфар будет перемирие, но они нарушат его и придут к вам под восемьюдесятью знамёнами, под каждым — двенадцать тысяч.|Then there will be a truce between you and Banu al-Asfar, but they will betray it and come against you under eighty banners, with twelve thousand under each banner.|Андан кийин силер менен Бану-ль-Асфардын ортосунда жарашуу болот. Бирок алар аны бузуп, сексен туу менен силерге келишет; ар бир туунун астында он эки миң болот.
conflict|muslim:2922|لا تقوم الساعة حتى يقاتل المسلمون اليهود|Час не наступит, пока мусульмане не вступят в сражение с иудеями.|The Hour will not come until Muslims fight the Jews.|Мусулмандар жөөттөр менен согушмайынча Кыямат келбейт.
false-prophets|bukhari:7121|وحتى يبعث دجالون كذابون، قريب من ثلاثين، كلهم يزعم أنه رسول الله|И пока не появятся около тридцати обманщиков и лжецов, каждый из которых будет утверждать, что он — посланник Аллаха.|And until about thirty deceivers and liars arise, each claiming to be a messenger of Allah.|Аллахтын элчисимин деп айткан отузга жакын жалганчы алдамчылар чыкмайынча.
knowledge|bukhari:80|إن من أشراط الساعة أن يرفع العلم، ويثبت الجهل، ويشرب الخمر، ويظهر الزنا|К признакам Часа относится то, что знание будет забрано, невежество утвердится, будут пить вино и распространится прелюбодеяние.|Among the signs of the Hour are knowledge being taken away, ignorance becoming established, wine being drunk, and adultery becoming widespread.|Кыяматтын белгилеринен — илимдин алынуусу, наадандыктын орношу, шараптын ичилиши жана зинанын жайылышы.
women-men|bukhari:81|وتكثر النساء ويقل الرجال، حتى يكون لخمسين امرأة القيم الواحد|Женщин станет много, а мужчин — мало, так что на пятьдесят женщин будет один попечитель.|Women will become numerous and men few, until fifty women have one caretaker.|Аялдар көбөйүп, эркектер азаят; элүү аялга бир камкорчу туура келет.
trust|bukhari:59|إذا وسد الأمر إلى غير أهله فانتظر الساعة|Когда дело будет поручено тем, кто для него не годится, ожидай Часа.|When responsibility is entrusted to those unfit for it, await the Hour.|Иш ага татыксыз кишилерге тапшырылганда Кыяматты күт.
buildings|bukhari:50|وإذا تطاول رعاة الإبل البهم في البنيان|И когда пастухи чёрных верблюдов станут состязаться в высоте построек.|And when the herders of dark camels compete in the height of buildings.|Кара төөлөрдүн кайтаруучулары бийик имарат курууда жарышканда.
slave|bukhari:50|إذا ولدت الأمة ربها|Когда рабыня родит своего господина.|When a slave woman gives birth to her master.|Күң аял өз кожоюнун төрөгөндө.
earthquakes|bukhari:7121|وحتى يقبض العلم، وتكثر الزلازل، ويتقارب الزمان، وتظهر الفتن، ويكثر الهرج وهو القتل|И пока знание не будет забрано, землетрясения не участятся, время не сблизится, смуты не проявятся и не умножится хардж, то есть убийства.|And until knowledge is taken away, earthquakes grow frequent, time draws close, turmoil appears, and harj—killing—becomes widespread.|Илим алынып, жер титирөөлөр көбөйүп, убакыт жакындап, бүлгүндөр чыгып, харж — өлтүрүү — көбөймөйүнчө.
time|bukhari:7061|يتقارب الزمان، وينقص العمل، ويلقى الشح، وتظهر الفتن، ويكثر الهرج|Время сблизится, деяния уменьшатся, скупость будет посеяна, смуты проявятся и умножится хардж [убийства].|Time will draw close, deeds will diminish, miserliness will be cast into people, turmoil will appear, and harj [killing] will increase.|Убакыт жакындайт, амалдар азаят, сараңдык жайылат, бүлгүндөр чыгат жана харж [өлтүрүү] көбөйөт.
killing|bukhari:7121|وتظهر الفتن، ويكثر الهرج وهو القتل|Проявятся смуты и умножится хардж, то есть убийства.|Turmoil will appear and harj—that is, killing—will become widespread.|Бүлгүндөр чыгып, харж — өлтүрүү — көбөйөт.
wealth|muslim:157c|لا تقوم الساعة حتى يكثر المال ويفيض حتى يخرج الرجل بزكاة ماله فلا يجد أحدا يقبلها منه|Час не наступит, пока богатство не умножится и не станет изобильным, так что человек выйдет с закятом своего имущества и не найдёт никого, кто примет его.|The Hour will not come until wealth grows abundant and overflows, so that a man brings out his zakat and finds no one to accept it.|Байлык көбөйүп, ашып-ташып, киши мал-мүлкүнүн зекетин алып чыкканда аны кабыл ала турган эч кимди таппай калмайынча Кыямат келбейт.
grave|bukhari:7121|وحتى يمر الرجل بقبر الرجل فيقول يا ليتني مكانه|И пока человек, проходя мимо могилы другого, не скажет: «О, если бы я был на его месте!»|And until a man passes another man’s grave and says: “If only I were in his place!”|Киши башка бирөөнүн мүрзөсүнүн жанынан өтүп: «Анын ордунда мен болсом кана!» — деп айтмайынча.
rain|muslim:2904|ليست السنة بأن لا تمطروا ولكن السنة أن تمطروا وتمطروا ولا تنبت الأرض شيئا|Засуха — не в том, что вам не ниспосылается дождь. Засуха — в том, что дожди идут и идут, а земля ничего не произращивает.|Drought is not simply receiving no rain. Drought is receiving rain again and again while the earth grows nothing.|Кургакчылык жаан жаабагандыкта эмес. Кургакчылык — жаан улам жаап, бирок жер эч нерсе өстүрбөгөндө.
harshness|muslim:2128b|صنفان من أهل النار لم أرهما قوم معهم سياط كأذناب البقر يضربون بها الناس|Два вида обитателей Огня я ещё не видел: люди с плетьми, подобными коровьим хвостам, которыми они бьют людей.|There are two kinds of people of the Fire whom I have not seen: people carrying whips like cattle tails, with which they strike people.|Тозок элинин мен көрө элек эки түрү бар: уйдун куйругундай камчылар менен адамдарды сабаган кишилер.
prohibitions|bukhari:5590|ليكونن من أمتي أقوام يستحلون الحر والحرير والخمر والمعازف|В моей общине непременно появятся люди, которые станут считать дозволенными прелюбодеяние, шёлк, вино и музыкальные инструменты.|Among my community there will be people who regard illicit sexual relations, silk, wine and musical instruments as lawful.|Үммөтүмдө зина, жибек, шарап жана музыкалык аспаптарды адал деп эсептеген адамдар сөзсүз болот.
east-fitna|muslim:2905a|وهو مستقبل المشرق يقول " ألا إن الفتنة ها هنا ألا إن الفتنة ها هنا من حيث يطلع قرن الشيطان|Повернувшись лицом к востоку, он сказал: «Поистине, смута здесь! Поистине, смута здесь, откуда появляется рог шайтана».|Facing east, he said: “Indeed, turmoil is here! Indeed, turmoil is here, where the horn of Satan rises.”|Чыгышты карап туруп: «Чындыгында, бүлгүн бул жерде! Чындыгында, бүлгүн бул жерде, шайтандын мүйүзү чыккан тарапта», — деди.
mission|bukhari:6504|بعثت أنا والساعة كهاتين|Я был послан, и Час — как эти два [пальца].|I have been sent, and the Hour is like these two [fingers].|Менин пайгамбар болуп жиберилишим менен Кыямат ушул эки [манжадай].
moon|bukhari:4864|انشق القمر على عهد رسول الله صلى الله عليه وسلم فرقتين، فرقة فوق الجبل وفرقة دونه فقال رسول الله صلى الله عليه وسلم " اشهدوا|Во времена Посланника Аллаха ﷺ луна раскололась на две части: одна была над горой, другая — перед ней. Посланник Аллаха ﷺ сказал: «Свидетельствуйте!»|In the time of Allah’s Messenger ﷺ, the moon split into two parts, one above the mountain and the other in front of it. Allah’s Messenger ﷺ said: “Bear witness!”|Аллахтын Элчисинин ﷺ убагында ай экиге бөлүндү: бир бөлүгү тоонун үстүндө, экинчиси анын алдында болду. Аллахтын Элчиси ﷺ: «Күбө болгула!» — деди.
death-prophet|bukhari:3176|اعدد ستا بين يدى الساعة، موتي، ثم فتح بيت المقدس|Сосчитай шесть событий перед Часом: моя смерть, затем завоевание Байт-аль-Макдиса.|Count six events before the Hour: my death, then the conquest of Bayt al-Maqdis.|Кыяматтын алдында алты окуяны сана: менин өлүмүм, андан кийин Байт-аль-Макдистин алынышы.
jerusalem|bukhari:3176|ثم فتح بيت المقدس، ثم موتان يأخذ فيكم كقعاص الغنم|Затем завоевание Байт-аль-Макдиса, затем мор, который поразит вас подобно болезни, поражающей овец.|Then the conquest of Bayt al-Maqdis, then a plague that strikes you like a fatal disease of sheep.|Андан кийин Байт-аль-Макдистин алынышы, андан соң койлордун кыргынына окшогон, силерди каптаган жугуштуу өлүм.
plague|bukhari:3176|ثم موتان يأخذ فيكم كقعاص الغنم|Затем мор, который поразит вас подобно болезни, поражающей овец.|Then a plague that strikes you like a fatal disease of sheep.|Андан кийин койлордун кыргынына окшогон, силерди каптаган жугуштуу өлүм.
arab-fitna|bukhari:3176|ثم فتنة لا يبقى بيت من العرب إلا دخلته|Затем смута, которая войдёт в каждый дом арабов.|Then a turmoil that enters every Arab household.|Андан кийин арабдардын ар бир үйүнө кирген бүлгүн.
hira-safety|bukhari:3595|فإن طالت بك حياة لترين الظعينة ترتحل من الحيرة، حتى تطوف بالكعبة، لا تخاف أحدا إلا الله|Если ты проживёшь долго, то увидишь женщину, которая отправится из аль-Хиры и совершит обход Каабы, не боясь никого, кроме Аллаха.|If you live long enough, you will see a woman travel from al-Hira to circle the Kaaba, fearing none but Allah.|Өмүрүң узун болсо, аль-Хирадан чыгып, Аллахтан башка эч кимден коркпой Каабаны таваф кылган аялды көрөсүң.
kisra|bukhari:3595|ولئن طالت بك حياة لتفتحن كنوز كسرى|И если ты проживёшь долго, сокровища Кисры непременно будут завоёваны.|And if you live long enough, the treasures of Kisra will surely be conquered.|Өмүрүң узун болсо, Кисранын казыналары сөзсүз алынат.
barrier|bukhari:7135|لا إله إلا الله، ويل للعرب من شر قد اقترب، فتح اليوم من ردم يأجوج ومأجوج مثل هذه|Нет божества, кроме Аллаха! Горе арабам от зла, которое приблизилось! Сегодня в преграде Яджуджа и Маджуджа открылось отверстие вот такого размера.|There is no god but Allah! Woe to the Arabs from an evil that has drawn near! Today an opening this size has appeared in the barrier of Yajuj and Majuj.|Аллахтан башка кудай жок! Жакындаган жамандыктан арабдарга кайгы! Бүгүн Яжуж менен Мажуждун тосмосунда ушундай өлчөмдө тешик ачылды.
tamim|muslim:2942a|ولكن جمعتكم لأن تميما الداري كان رجلا نصرانيا فجاء فبايع وأسلم وحدثني حديثا وافق الذي كنت أحدثكم عن مسيح الدجال|Я собрал вас потому, что Тамим ад-Дари был христианином, затем пришёл, присягнул и принял ислам. Он рассказал мне то, что совпало с тем, что я рассказывал вам о Масихе Даджале.|I gathered you because Tamim al-Dari was a Christian who then came, pledged allegiance and embraced Islam. He told me an account agreeing with what I had told you about the Masih Dajjal.|Силерди чогултканымдын себеби: Тамим ад-Дари христиан эле, анан келип, ант берип, исламды кабыл алды. Ал мага силерге Масих Дажжал жөнүндө айткан сөздөрүмө дал келген баянды айтып берди.
baysan|muslim:2942a|فقال أخبروني عن نخل بيسان قلنا عن أى شأنها تستخبر قال أسألكم عن نخلها هل يثمر قلنا له نعم . قال أما إنه يوشك أن لا تثمر|[Тамим рассказывает о Даджале:] Он сказал: «Расскажите мне о пальмах Байсана». Мы спросили: «Что ты хочешь о них узнать?» Он сказал: «Я спрашиваю, приносят ли они плоды». Мы ответили: «Да». Он сказал: «Скоро они перестанут приносить плоды».|[Tamim recounts the Dajjal’s words:] He said: “Tell me about the palms of Baysan.” We asked: “What do you want to know about them?” He said: “Do they bear fruit?” We replied: “Yes.” He said: “Soon they will bear no fruit.”|[Тамим Дажжал жөнүндө баяндайт:] Ал: «Байсандын курма дарактары жөнүндө айткыла», — деди. Биз: «Алар жөнүндө эмнени билгиң келет?» — дедик. Ал: «Мөмө береби?» — деди. Биз: «Ооба», — дедик. Ал: «Жакында мөмө бербей калат», — деди.
